name,maker,bottlesize,country,city,website
1724 Tonic Water,,0.2l,Argentinien,Buenos Aires,http://www.1724tonic.com
6 O´Clock Indian Tonic Water,,0.2l,England,,http://www.bramleyandgage.co.uk
Boylan Tonic Water,,0.2l,USA,,http://www.boylanbottling.com
Canada Dry Tonic Water,,0.236l,Canada,Toronto,http://www.canadadry.com/#/products/tonicWater
Fever Tree Tonic Water,Global Drinks Partnership GmbH,0.2l,Deutschland,München,http://www.fever-tree.com
Fentimans Tonic Water,Fentimans UK,0.125l,England,Hexham,http://fentimans.com
Haindl´s Tonic Water,,0.2l,Deutschland,,http://www.haindls.de
Indian Tonic Water,,0.2l,Deutschland,,
Lichtenauer Tonic Water,Lichtenauer Mineralquellen GmbH,0.2l,Deutschland,Lichtenau,http://www.lichtenauer.com
Margon Tonic Water,MARGON BRUNNEN GmbH,1l,Deutschland,Lichtenau,http://www.margon.de
Nordic Mist Tonic Water,The Coca-Cola Company,0.2l,USA,,
Schweppes Indian Tonic Water,Schweppes Deutschland GmbH,0.2l,Deutschland,Kreuztal,http://www.schweppes.de
SPQ Tonic Water,Störtebeker Braumanufaktur GmbH,0.7l,Deutschland,Hansestadt Stralsund,http://www.stralsunder.de
Thomas Henry Tonic Water,Thomas Henry GmbH & Co. KG,0.2l,Deutschland,Berlin,http://www.thomas-henry.de
Q-Tonic Superior Tonic Water,,0.2l,USA,,http://qtonic.com
